# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
Democratic Republic of the Congo ; Congo-Kinshasa	République Démocratique du Congo ; Congo-Kinshasa ; République démocratique du Congo ; Congo
Denmark ; Kingdom of Denmark	Danemark
Djibouti ; Republic of Djibouti	Djibouti
Dominica ; Commonwealth of Dominica	Dominique
Dominican Republic	République dominicaine
Down syndrome ; Down’s syndrome	syndrome de Down
Dublin	Dublin
Dutch	néerlandais ; hollandais ; flamand ; flamand
EC Council of Ministers	Conseil des ministres de la CE ; Conseil des ministres de la Communauté Européenne
EC Treaty	traité CE
EC directive	directive de la CE
EC directive on biocides	directive CE relative aux biocides
EC directive on waste disposal	directive CE relative à l'éliminiation des déchets
EC directive on water protection	directive CE relative à la protection de l'eau
EC ecolabel	CE écolabel
EC policy	politique communautaire
EC regulation	règlement de la CE
EC regulation on eco-management and audit	règlement (CEE) en matière de management environnemental et d'audit ; règlement CEE en matière de management environnemental et d'audit
EC regulation on existing chemicals	règlement (CEE) en matière de substances chimiques existantes
EIA (local)	EIE ; Evaluation de l'impact sur l'environnement
EIA ; environmental impact assessment	EIE ; évaluation de l'impact sur l'environnement
EIA directive	directive relative à l'EIE (Evaluation de l'impact sur l'environnement)
EIA law	loi sur l'EIE (Evaluation de l'impact sur l'environnement)
EU ; European Union	UE ; Union européenne
EU Council	Conseil de l'UE ; Conseil de l'Union Européenne
Earth-Sun relationship	relations Terre-Soleil
East Africa	Afrique de l'Est
East Timor ; Democratic Republic of Timor-Leste	Timor Oriental
East-West relations	relations Est-Ouest
East-West trade	commerce Est-Ouest
Easter	Pâques
Eastern Asia ; East Asia	Asie de l'Est ; Asie orientale
Eastern Europe	Europe de l'Est
Ecuador ; Republic of Ecuador	Équateur
Egypt ; Arab Republic of Egypt	Égypte
Eiffel Tower	tour Eiffel
El Salvador ; Republic of El Salvador	Salvador
England	Angleterre
English	anglais
English garden	jardin à l'anglaise
Epiphany	Épiphanie
Equatorial Guinea ; Republic of Equatorial Guinea	Guinée équatoriale
Erevan ; Yerevan	Erevan
Eritrea	Érythrée
Esperanto ; Esperanto	espéranto
Estonia ; Republic of Estonia	Estonie
Estonian	estonien
Ethiopia ; Federal Democratic Republic of Ethiopia	Éthiopie
Euratom	Euratom
Europe	Europe
European Commission	Commission Européenne
European Communities	Communautés européennes
European Court of Justice	Cour de Justice Européenne
European Environment Agency	Agence européenne pour l'environnement
European Environmental Council	Conseil européen de l'environnement
European Monetary Fund	Fonds monétaire européen
European Monetary System ; EMS	système monétaire européen
European Parliament	Parlement Européen
European nature reserve	réserve naturelle européenne
European standard	norme européenne
Falkland Islands	Malouines ; îles Falkland
Faroe Islands	Îles Féroé
Faroese ; Faeroese	féroïen ; féringien
February	février
Fiji ; Republic of the Fiji Islands	Fidji ; République des Îles Fidji
Finland ; Republic of Finland	Finlande
Finnish	finnois
Flanders ; Flemish region	Flandre
Flemish	flamand
Flevoland	Flevoland
France	France
French ; French	français
French Guiana	Guyane ; Guyane française
French Polynesia	Polynesie Francaise ; Pays d'outre-mer de la Polynesie Francaise ; Polynésie française ; Pays d'outre-mer de la Polynésie Française
French Revolution	Révolution française
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Terres australes et antarctiques françaises ; Territoire des Terres australes et antarctiques françaises
French formal garden	jardin à la française
Frenchman	Français
Friday	vendredi
Frisian ; Western Frisian	frison
GDP ; gross domestic product	produit intérieur brut ; PIB
GDR ; German Democratic Republic	RDA ; République démocratique allemande
GIS digital format	format électronique de données géo-référencées
GIS digital system	système numérique SIG
GIS digital technique	technique digitale SIG
GIS laboratory	laboratoire SIG
Gabon ; Gabonese Republic	Gabon
Gaborone	Gaborone
Galician ; Galician	galicien
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Gambie ; Gambie ; Gambie ; Gambie ; Gambie ; Gambie ; Gambie
Gaza Strip	Bande de Gaza
Gemini	Gémeaux
Georgia	Géorgie
Georgian ; Georgian	géorgien
German	allemand
German	allemand ; allemand ; allemande
German (Austria)	allemand (Autriche)
German (Switzerland)	allemand (Suisse)
Germany ; Federal Republic of Germany	Allemagne
Ghana ; Republic of Ghana	Ghana
Gibraltar	Gibraltar
Global Environment Facility ; GEF	Fonds mondial pour la protection de l'environnement
Great Britain ; Britain	Grande-Bretagne
Greece ; Hellenic Republic	Grèce
Greek ; Greek	grec
Greek alphabet	alphabet grec
Greenland	Groenland
Gregorian calendar	calendrier grégorien
Grenada	Grenade
Guadeloupe	Guadeloupe
Guam ; Guam ; Guam	Guam
Guatemala ; Republic of Guatemala	Guatemala ; Guatémala
Guinea ; Republic of Guinea	Guinée ; République de Guinée
Guinea-Bissau ; Republic of Guinea-Bissau	Guinée-Bissao ; Guinée-Bissau
Gujarati ; Gujarati	gujarâtî
Guyana ; Republic of Guyana	Guyana
H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)	H5N1
Haiti ; Republic of Haiti	Haïti ; République d'Haïti
Hannukah	Hanoucca
Hanover	Hanovre
Happy New Year	bonne année
Hebrew	hébreu
Hercules	Hercule
Hercules	Hercule ; Héraclès
Hindi ; Hindi	hindi ; hindî
Holland ; Kingdom of the Netherlands ; The Netherlands	Pays-Bas ; Royaume des Pays-Bas ; Hollande
Honduras ; Republic of Honduras	Honduras ; République du Honduras
Hungarian	hongrois
Hungary ; Republic of Hungary	Hongrie
I	j' ; je
IMCO code	codification OMCI
IMF ; International Monetary Fund	Fonds monétaire international ; FMI
ISO standard	norme ISO
Iceland ; Republic of Iceland	Islande
Icelandic	islandais
Ido ; Ido	ido
Iliad	L'Iliade ; Iliade
India ; Republic of India	Inde
Indian Ocean	Océan indien
Indonesia ; Republic of Indonesia	Indonésie
Indonesian	indonésien
Indre	Indre
Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin	interlingua
International Court of Justice	Cour internationale de justice
Internet	internet
Iran ; Islamic Republic of Iran	Iran ; République Islamique d' Iran
Iraq ; Republic of Iraq	Irak ; Iraq
Ireland ; Republic of Ireland	Irlande
Irish ; Irish ; Irish Gaelic ; Irish	irlandais
Islam	Islam
Isle of Man ; Isle of Mann ; Mann	île de Man
Israel ; State of Israel	Israël
Italian ; Italian	italien
Italian Republic ; Italy	Italie
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Côte d'Ivoire ; République de la Côte d'Ivoire
Jakarta ; Djakarta ; DKI Jakarta	Jakarta ; Djakarta
Jamaica	Jamaïque
January	janvier
Japan ; State of Japan	Japon
Japanese ; Japanese	japonais
Javanese	javanais
Jersey ; Bailiwick of Jersey	Bailliage de Jersey
Jordan ; Hashemite Kingdom of Jordan	Jordanie
Judaism	judaïsme
July	juillet
June	juin
Jupiter	Jupiter
Kalaallisut	kalaallisut
Kannada ; Kannada	kannada ; kannara
Karelian	carélien
Kazakh ; Kazakh	kazakh
Kazakhstan ; Republic of Kazakhstan	Kazakhstan
Kenya ; Republic of Kenya	Kenya
Khartoum	Khartoum
Khmer ; Central Khmer	khmer
Kiribati ; Republic of Kiribati	Kiribati
Korean ; Korean	coréen
Kosovo	Kosovo
Krakow ; Cracow	Cracovie
Kuwait ; State of Kuwait	Koweït
Kyoto	Kyoto
Kyrgyzstan ; Kyrgyz Republic	Kirghizistan ; Kirghizstan
Lagos	Lagos
Lao ; Lao	lao ; laotien
Laos ; Lao People's Democratic Republic	Laos ; République démocratique populaire lao ; République démocratique populaire Lao
Latin ; Latin	latin
Latvia ; Republic of Latvia	Lettonie
Latvian ; Latvian	letton
Lausanne	Lausanne
Lebanon ; Lebanese Republic	Liban ; République libanaise ; pays du Cèdre ; pays du cèdre
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Saint-Pétersbourg
Leo	Lion
Lesotho ; Kingdom of Lesotho	Lesotho
Liberia ; Republic of Liberia	Liberia
Libra	Balance
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Jamahiriya arabe libyenne ; Libye
Liechtenstein ; Principality of Liechtenstein	Liechtenstein ; principauté de Liechtenstein
Limburgish ; Limburgian	limbourgeois
Lisbon	Lisbonne
Lithuania ; Republic of Lithuania	Lituanie
Lithuanian ; Lithuanian	lituanien
London	Londres
Lower House	Chambre des Députés
Lower Saxony	Basse-Saxe
Luxembourg ; Grand Duchy of Luxembourg	Luxembourg ; Grand-Duché de Luxembourg
Luxembourgish ; Luxemburgish ; Luxembourgian	Luxembourgeois ; luxembourgeois
Lyon	Lyon
Macedonia ; Republic of Macedonia	Macédoine
Macedonian ; Macedonian	macédonien
Madagascar ; Republic of Madagascar	Madagascar
Malawi ; Republic of Malaŵi	Malawi
Malayalam ; Malayalam	malayâlam ; malayalam ; malayî
Malaysia	Malaisie
Maldives ; Republic of the Maldives	Maldives
Mali ; Republic of Mali	Mali ; République du Mali
Malta ; Republic of Malta	Malte
Maltese	maltais
Maori	maori
Marathi ; Marāthi ; Marāthi ; MarÄthi	marathe ; marâthî ; marathi
March	mars
Markov chain ; Markoff chain	chaîne de Markov
Marshall Islands ; Republic of the Marshall Islands	Îles Marshall
Martinique	Martinique
Massachusetts	Massachusetts
Mauritania ; Islamic Republic of Mauritania	Mauritanie
Mauritius ; Republic of Mauritius	Maurice
May	mai
Mayotte	Mayotte
Mecca	La Mecque
Mediterranean Area	zone méditerranéenne
Mediterranean Sea	Mer méditerranée
Mediterranean climate	climat méditerranéen
Mediterranean forest	forêt méditérranéenne
Mediterranean wood	bois méditerranéen
Mercury	Mercure
Merry Christmas	Joyeux Noël ; Joyeuses Fêtes
Merry Christmas and a happy New Year	Joyeux Noël et bonne année
Mexico ; United Mexican States	Mexique
Micronesia ; Federated States of Micronesia	Micronésie ; États Fédérés de Micronésie
Milan	Milan
Milky Way ; Galaxy	Voie lactée
Milwaukee	Milwaukee
Moldova	Moldavie
Monaco	Monaco
Monday	lundi
Mongolia	Mongolie
Montenegro	Monténégro
Montserrat	Montserrat
Morocco ; Kingdom of Morocco	Maroc
Moscow	Moscou
Mount Fuji	Mont Fuji
Mozambique	Mozambique
Mumbai ; Bombay	Mumbai ; Bombay
Munich	Munich
Myanmar	Birmanie ; Myanmar
NIMBY aptitude ; NIMBY attitude	attitude NIMBY ; attitude NIMBY ; attitude NIMBY
NOEL	dose maximale admissible
Nagorno-Karabakh	Haut-Karabagh
Nairobi	Nairobi
Namibia	Namibie ; République de Namibie
Naples	Naples
Nauru ; Republic of Nauru	Nauru
Neapolitan ; Neapolitan	napolitain
Nepal	Népal
Nepali ; Nepali	népalais
Neptune	Neptune
New Caledonia	Nouvelle-Calédonie ; Kaledonia Berria
New Year ; New Year's Day	nouvel an ; jour de l'an ; jour du nouvel an
New York	New York
New Zealand	Nouvelle-Zélande
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
Niue	Nioué
North Africa	Afrique du Nord
North America	Amérique du Nord
North Atlantic Ocean	océan atlantique nord
North Korea ; Democratic People's Republic of Korea	Corée du Nord
North-South relationship	relation Nord-Sud
Northern Ireland	Irlande du Nord
Norway ; Kingdom of Norway	Norvège ; Royaume de Norvège
Norwegian	norvégien
November	novembre
Novial	novial
Nuuk	Nuuk
Nynorsk	nynorsk
Oceania	Océanie
October	octobre
Oklahoma	Oklahoma
Oman ; Sultanate of Oman	Oman
Orleans	Orléans
Oslo	Oslo
Pacific Ocean	Océan Pacifique
Pakistan ; Islamic Republic of Pakistan	Pakistan
Palau	Palaos ; Belau ; Pelew
Panama	Panama ; Panamá
Papua New Guinea	Papouasie-Nouvelle-Guinée
Paraguay	Paraguay
Paris	Paris
Parliament	Parlement
People's Republic of China ; China	Chine
Persian ; Western Farsi ; Farsi	persan
Peru ; Republic of Peru	Pérou
Philadelphia	Philadelphie
Philippines	Philippines
Phobos	Phobos
Piedmontese ; Piedmontese ; Piemontese ; Piemontese	piémontais
Poland	Pologne
Polish ; Polish	polonais
Portugal	Portugal
Portuguese ; Portuguese	portugais
Puerto Rico	Porto Rico
Punjabi ; Panjabi	panjâbî ; penjâbî
Pyrenees	Pyrénées
Pyrrhic victory	victoire à la Pyrrhus
Qatar	Qatar
Ramadan	ramadan
Republic of the Congo ; Congo-Brazzaville	République du Congo ; Congo-Brazzaville ; Congo
Rhône	Rhone ; Rhône
Romania	Roumanie
Romanian ; Romanaian	roumain
Rome	Rome
Russia ; Russian Federation	Russie ; Fédération de Russie
Russian ; Russian	russe
Sagittarius	Sagittaire
Saint-Pierre and Miquelon	Saint-Pierre-et-Miquelon ; San Pedro e Miguelón
Sakhalin ; Saghalien	Sakhaline
Samoa	Samoa
San Marino	Saint-Marin
Sanskrit ; Sanskrit	sanskrit
Sapir–Whorf hypothesis	hypothèse Sapir-Whorf
Saturday	samedi
Saturn	Saturne
Saudi Arabia ; Kingdom of Saudi Arabia	Arabie saoudite ; Arabie Saoudite ; Arabie Séoudite ; Arabie séoudite
Saxony	Saxe
Scorpio	Scorpion
Scotland	Écosse
Seine	Seine
Senegal	Sénégal
September	septembre
Serbia	Serbie
Serbia and Montenegro	Serbie-et-Monténégro
Serbian ; Serbian	serbe
Seychelles ; Republic of Seychelles	Seychelles
Sicilian ; Sicilian	sicilien
Sierra Leone	Sierra Leone
Sindhi ; Sindhi	sindhi
Singapore	Singapour
Slovak ; Slovak	slovaque
Slovakia	Slovaquie
Slovene ; Slovenian ; Slovenian	slovène
Slovenia	Slovénie
Sochi	Sotchi
Solomon Islands	Îles Salomon
Somali ; somali	somali
South Africa	Afrique du Sud ; République d’Afrique du Sud ; République sud-africaine
South America	Amérique du Sud
South Korea ; Republic of Korea	Corée du Sud
Southeast Asia	Asie du Sud-Est
Southern Asia ; South Asia	Asie du Sud
Spain	Espagne
Sri Lanka	Sri Lanka
Sudan	Sudan ; Soudan
Sun King	Roi-Soleil
Sunday	dimanche
Suriname	Surinam
Swahili	swahili
Sweden	Suède
Swedish	suédois
Switzerland	Suisse
Syria ; Syrian Arab Republic	Syrie ; République Arabe Syrienne
Tagalog	tagalog
Taiwan	Taïwan
Tajik	tadjik
Tajikistan	Tadjikistan
Tamil ; Tamil	tamoul
Tanzania	Tanzanie
Tatar ; Tatar	tatar
Taurus	Taureau
Tehran	Téhéran
Telugu ; Telugu	télougou
Tennessee	Tennessee
Thai ; Thai	thaï ; thaïlandais
Thailand	Thaïlande
The Hague	La Haye
Thuringia	Thuringe
Thursday	jeudi
Togo	Togo
Tokyo	Tokyo
Tonga	Tonga
Toronto	Toronto
Tswana	tswana
Tuesday	mardi
Tunisia	Tunisie
Turkey	Turquie
Turkish ; Turkish	turc
Turkmenistan	Turkménistan
UN ; United Nations	Nations Unies ; ONU ; Organisation des Nations Unies
Uganda ; Republic of Uganda	Ouganda
Ukraine	Ukraine
Ukrainian ; Ukrainian	ukrainien
United Arab Emirates	Émirats Arabes Unis
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Royaume-Uni ; Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	États-Unis d'Amérique ; États-Unis
Uranus	Uranus
Urdu ; Urdu	ourdou
Utah	Utah
Vaduz	Vaduz
Vatican City ; The Holy See ; State of the Vatican City	État de la Cité du Vatican ; Vatican ; Saint-Siège
Venezuela	Venezuela ; Vénézuéla ; Vénézuéla
Venice	Venise
Venus	Vénus
Vienna	Vienne
Vietnamese ; Vietnamese	vietnamien
Volapük	volapük
Volga	Volga
Wales	Pays de Galles
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Îles Wallis et Futuna ; Wallis-et-Futuna ; Territoire des îles Wallis-et-Futuna
Walloon ; Walloon	wallon
Washington	Washington
Wednesday ; quarta-feira	mercredi
Welsh ; Welsh	gallois
Western Asia ; Southwest Asia	Asie de l'Ouest ; Asie occidentale
Western Europe	Europe de l'Ouest
Wikipedia	Wikipédia
Wiktionary	Wiktionnaire
World Wide Web ; WWW	Web
Wyoming	Wyoming
Xhosa	xhosa
Yemen ; Republic of Yemen	Yémen
Yiddish	yiddish
Yugoslavia	Yougoslavie
Zambia ; Republic of Zambia	Zambie
Zanzibar	Zanzibar
Zimbabwe ; Republic of Zimbabwe	Zimbabwe
Zulu	zoulou
aAmplitude ; amplitude	amplitude
aback	déconcerté
abacus	abaque ; boulier
abandoned industrial site	site abandonné
abandoned vehicle ; car wreck	véhicule abandonné
abasement	humiliation
abbreviation	abréviation
abhor ; loathe ; detest	abhorrer
abiotic environment	milieu abiotique
abiotic factor	facteur abiotique
abolitionist	abolitionniste
abortive	raté
abrasive	abrasif
abridge	abréger
abscess	abcès
absolutely	absolument
absorption	absorption
acceleration	accélération
acceptable daily intake	dose journalière admissible
acceptable risk level	niveau de risque acceptable
acceptance ; credence	croyance ; acceptation
access road	route d'accès
access to administrative documents	accès aux documents administratifs
access to culture	accès à la culture
access to information	accès à l'information
access to the courts	accès à la justice
accident	accident
accident source ; cause of the accident	source d'accident
accidental release of organisms	rejet accidentel d'organismes
accordion ; squeeze box ; piano accordion	accordéon
account	compte
accountancy	comptabilité
accounting	comptabilité
accounting system	système de comptabilité
accumulator	accumulateur
acid	acide
acid deposition	retombée acide
acid rain	pluie acide
acidification	acidification
acidity	acidité
acidity degree	degré d'acidité
acne	acné
acorn	gland
acoustic comfort	confort acoustique
acoustic filter ; audio filter	filtre acoustique
acoustic insulation	isolation acoustique
acoustic level ; sound pressure level	niveau acoustique
acoustic property	propriété acoustique
acoustical quality	qualité acoustique
acoustics	acoustique
acquisition	acquisition
acrid	âcre
act ; deed	acte
actinide	actinide
actinium	actinium
action group ; action committee	groupe d'action
activated carbon	charbon actif
activated sludge	boue activée
active participation	participation active
active population	population active
activist	activiste
adaptation period	période d'adaptation
add	summata ; additionner
addition	addition
additional packaging	emballage supplémentaire
additive	additif
adequate food supply	approvisionnement alimentaire approprié
adhesive	adhésif
adieu ; bye ; cheerio ; farewell ; good day ; goodbye	au revoir ; salut ; adieu
adjective ; describing word	adjectif
adjust	ajuster
administration ; direction ; management	administration
administrative body ; administrative organ	code administratif ; organe d'administration
administrative boundary	limite administrative
administrative competence ; administrative ability	compétence administrative
administrative deed	acte administratif
administrative fiat	autorisation administrative
administrative instructions	instruction administrative
administrative law	droit administratif
administrative occupation	profession administrative
administrative organisation	organisation administrative
administrative procedure	procédure administrative
administrative sanction	sanction administrative
adoption	adoption
adsorption	adsorption
adult	adulte
adult education	formation pour adultes
advance	avance
adventure	aventure
adverb	adverbe
advertisement ; promotion	pub ; publicité
advice	bon de livraison
aeration	aération
aerial	antenne
aerial photograph	photographie aérienne
aerial photography	photographie aérienne
aerobic process	processus aérobie
aerobic treatment	traitement aérobie
aerobiology	aérobiologie
aerodynamic noise	bruit aérodynamique
aeroplane ; bird ; plane	aéroplane ; avion
aerosol	aérosol
aesthetics	esthétique
afforestation ; tree planting ; afforestment	boisement
afterburning ; afterburning ; afterburner	post-combustion
age	âge
aggressive	agressif
aggressor ; assailant ; attacker ; assaulter	agresseur
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	agoraphobie ; agoraphobie
agreement	accord
agreement	agrément
agreement	contrat
agri-foodstuff	agro-alimentaire
agricultural biotechnology	biotechnologie agro-alimentaire
agricultural building	bâtiment agricole
agricultural disaster	calamité agricole
agricultural ecology ; agroecology	écologie agricole
agricultural economics	economie agricole
agricultural effluent	effluent agricole
agricultural engineering	génie agricole
agricultural equipment	équipement agricole
agricultural equipment ; agricultural machinery ; farm machinery	équipement agricole ; machine agricole
agricultural exploitation	exploitation agricole
agricultural hydraulics	hydraulique agricole
agricultural land	terre agricole
agricultural landscape	paysage cultivé
agricultural legislation	législation agricole
agricultural management	gestion agricole
agricultural method	méthodes agricoles
agricultural pest	parasites agricoles
agricultural planning	planification rurale
agricultural policy	politique agricole
agricultural pollution	pollution agricole
agricultural product	produit agricole
agricultural production ; farm production ; agricultural output	production agricole
agricultural real estate	propriété foncière agricole
agricultural storage	stockage des produits agricoles
agricultural structure	structure agricole
agricultural undervaluation	sous-estimation agricole
agricultural waste	déchet agricole
agriculture	agriculture
agriculture ; agriculture	agriculture ; agriculture
agriculture and cattle industry	agriculture et élevage industriel
agriculture framework plan	plan cadre de l'agriculture
agritourism	tourisme rural
agrochemical	produit agrochimique
agroforestry	agro-foresterie
agroindustry	agroindustrie
agrometeorology	agro-météorologie
agronomic value	valeur agronomique
agronomy	agronomie
agrosystem	agrosystème
aid policy	politique d'aide
air	air
air conditioning ; AC ; air-conditioning	climatisation
air movement	mouvement planétaire des masses d'air
air pollutant	polluant atmosphérique
air pollution	pollution atmosphérique ; pollution de l'air
air quality	qualité de l'air
air quality control	contrôle de la qualité de l'air
air quality management	gestion de la qualité de l'air
air quality monitoring	contrôle de la qualité de l'air
air sac ; alveolus	alvéole
air safety	sécurité aérienne
air temperature	température de l'air
air traffic	trafic aérien
air traffic law	loi de navigation aérienne
air transportation	transport aérien
air-water interaction	interaction air/eau
airborne noise	bruit aérien
aircraft	appareil volant ; aéronef
aircraft noise	bruit d'aéronefs
airmail	poste aérienne
airport	aéroport
airspace planning	organisation de l'espace aérien
alarm ; alert ; warning	alarme
alarm clock	réveil ; réveille-matin
albinism	albinisme
alchemist	alchimiste
alchemy	alchimie
